"","web-scraper-order","web-scraper-start-url","handle","name","content","replies","retweets","favorites","unix_timestamp","published_date","url"
"11","1555289286-15341","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Irish terminally ill woman,  mother of five, receives ¢æ7.4m compensation after false negative smear test in one of biggest health scandals to hit for yearshttps://www.theguardian.com/world/2018/jun/29/irish-woman-receives-74m-over-cervical-smear-cancer-scandal?CMP=share_btn_tw<U+00A0>¡¦",NA,"6","7",1.53e+12,2018-06-29 07:12:00,"/lisaocarroll/status/1012700405929672704"
"12","1555289286-15340","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Amazingly brave piece on mental illness by colleague <U+2066>@ladyhaja<U+2069> . Shows how woefully inadequate services for mental health are despite repeated claims of turnaround. 16 week wait for therapy? Released fr sectioning and no therapy?  Cos u r not ill?https://www.theguardian.com/society/2018/jun/30/nothing-like-broken-leg-mental-health-conversation?CMP=Share_iOSApp_Other<U+00A0>¡¦",NA,"2","7",1.53e+12,2018-06-30 10:45:00,"/lisaocarroll/status/1013116406626471936"
"13","1555289286-15339","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING: EC have seen sections of White Paper. "" We see cake"". They will reject it. By colleague Jennifer Rankin  @JenniferMerodehttps://www.theguardian.com/politics/2018/jul/02/uk-latest-brexit-proposal-is-unrealistic-say-eu-officials<U+00A0>¡¦",5,"32","37",1.53e+12,2018-07-02 04:12:00,"/lisaocarroll/status/1013742155670609920"
"14","1555289286-15338","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","As Downing St produces ""third"" customs plan... DUP get 1.5 hours with May.https://twitter.com/bbclaurak/status/1013798701595287554<U+00A0>¡¦",1,"11","4",1.53e+12,2018-07-02 08:47:00,"/lisaocarroll/status/1013811511146446848"
"15","1555289286-15337","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Belgian diver on Thai rescue team tells Newsnight children could be trapped for months. Two medics have volunteers to stay with the for three or four months. They can't swim and will have to wait for waters to subside, said Ben Reymenantspic.twitter.com/GeggQ3wST0",NA,"6","8",1.53e+12,2018-07-02 15:44:00,"/lisaocarroll/status/1013916378045272165"
"16","1555289286-15336","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Brexit to have greatest negative impact on regions outside London says IPPR and Oliver Wyman reports. Northern Ireland under Wyman analysis comes out worst with Wales and midlands also suffering in IPPR assessmenthttps://www.theguardian.com/politics/2018/jul/04/brexit-greatest-negative-impact-regions-outside-london?CMP=share_btn_tw<U+00A0>¡¦",4,"50","31",1.53e+12,2018-07-03 23:22:00,"/lisaocarroll/status/1014394009584795648"
"17","1555289286-15335","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Ireland's deputy prime minister will be in London today to meet cabinet ministers  to discuss Brexit . Simon Coveney said it was important talks were ""intensified"" describing lack of progress on Irish border as ""very disappointing""",1,"9","15",1.53e+12,2018-07-03 23:38:00,"/lisaocarroll/status/1014398084149907457"
"18","1555289286-15334","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Is this what is in store for British passport holders going to the EU post Brexit? A three year entry authorisation?https://twitter.com/Europarl_EN/status/1014204375743557633<U+00A0>¡¦",5,"14","12",1.53e+12,2018-07-03 23:41:00,"/lisaocarroll/status/1014398725823791105"
"19","1555289286-15333","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Theresa May needs a ""poll tax moment"" and break manifesto pledge on Brexit says Tories against Brexit campaigner.https://www.theguardian.com/politics/2018/jul/05/brexit-impact-papers-viewing-requests-made-by-just-6-of-mps-and-peers?CMP=share_btn_tw<U+00A0>¡¦",2,"5","12",1.53e+12,2018-07-05 01:18:00,"/lisaocarroll/status/1014785508814311424"
"20","1555289286-15332","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","NEW Now German business leaders release statement saying there is  'reluctance' to invest in UK over Brexit uncertaintyhttps://www.theguardian.com/business/2018/jul/05/german-businesses-reluctant-to-invest-in-uk-over-brexit-uncertainty?CMP=share_btn_tw<U+00A0>¡¦",3,"11","10",1.53e+12,2018-07-05 07:02:00,"/lisaocarroll/status/1014872091018002432"
"21","1555289286-15331","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Chequers schedule thx to @MattChorley 
9.30am breakfast
12.30pm lunch Followed by 4 hour session when May will spell out her 120 page plan.
5pm 15m break for coffee.
5.15 - 7pm. No deal planning 
Break then dinner. Presentation from No 10 spin doctor on messaging
10pm day over",5,"7","8",1.53e+12,2018-07-06 00:29:00,"/lisaocarroll/status/1015135637106823168"
"22","1555289286-15330","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Government ¡°has no clue ¡° how to execute Brexit without harm <U+2013> Airbus chiefhttps://www.theguardian.com/business/2018/jul/06/government-has-no-clue-how-to-execute-brexit-without-harm-airbus-chief?CMP=Share_iOSApp_Other<U+00A0>¡¦",10,"74","105",1.53e+12,2018-07-06 01:58:00,"/lisaocarroll/status/1015157956663537664"
"23","1555289286-15329","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier: ""It is more important today than ever to look at threats and challenges that each of our countries has to face, security, fight against terrorism, climate change, fight against poverty, also regulation on financial markets. No country can win these battles on their own""",2,"4","8",1.53e+12,2018-07-06 03:59:00,"/lisaocarroll/status/1015188492916330496"
"24","1555289286-15328","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING: Barnier admits for the first time that EU citizens deal is not fully done. We have a deal, he tells IIEA, but ""This is not the end of the road and we need to remain vigilant"". Brits in Europe and the3million been saying this for months",19,"217","311",1.53e+12,2018-07-06 04:03:00,"/lisaocarroll/status/1015189465873215489"
"25","1555289286-15327","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier thanks @guyverhofstadt for the work on EU citizens.  Says EC is working with Home Office to ensure implementation is right",NA,"14","28",1.53e+12,2018-07-06 04:04:00,"/lisaocarroll/status/1015189650397384704"
"26","1555289286-15326","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier lays down four tests for Irish border deal 
1. protect one of the main achievements of peace process - invisible border
2. frictionless trade for goods
3 . farmers can move livestock and produce over border
4. all island electricity market to continue",3,"48","58",1.53e+12,2018-07-06 04:09:00,"/lisaocarroll/status/1015191010828275713"
"27","1555289286-15325","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier: ""If we want to maintain the status quo for goods crossing the border, we need to find a solution that respects the single market,"".
Need compliance with EU reg, ""to protect consumers, to ensure food safety and animal health""",NA,"8","15",1.53e+12,2018-07-06 04:13:00,"/lisaocarroll/status/1015192004018524160"
"28","1555289286-15324","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier trying to make clear that EU solution for Irish border would mean only a few EU regulations applying on cross border trade. ""own backstop solution would mean the limited set of EU rules would continue to apply in Ireland as it does today""",NA,"6","11",1.53e+12,2018-07-06 04:14:00,"/lisaocarroll/status/1015192264065323009"
"29","1555289286-15323","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier's speech in Brussels. Essentially he is putting hand out to British and Brexiters. Let's ""DE-DRAMATISE"" the backstop. It isn't that hard. We are giving you ""tailor-made"" solution for Ireland.",1,"4","13",1.53e+12,2018-07-06 04:17:00,"/lisaocarroll/status/1015193033795686400"
"30","1555289286-15322","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING: Barnier tells UK "" I am ready to adapt our offer should the UK red lines change.""
But he warns: ""Time is short, we need to have realistic and workable solutions""",2,"5","15",1.53e+12,2018-07-06 04:20:00,"/lisaocarroll/status/1015193810031300608"
"31","1555289286-15321","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Barnier says the EU single market ""it is not and never should be seen as a big supermarket, it is economic cultural and social life and it should be developed in all its dimensions""",3,"6","23",1.53e+12,2018-07-06 04:21:00,"/lisaocarroll/status/1015194065846067200"
"32","1555289286-15320","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","FULL STORY Michel Barnier: EU willing to compromise if UK softens red lineshttps://www.theguardian.com/politics/2018/jul/06/michel-barnier-eu-willing-to-compromise-if-uk-softens-brexit-red-lines?CMP=share_btn_tw<U+00A0>¡¦",NA,"4","8",1.53e+12,2018-07-06 06:15:00,"/lisaocarroll/status/1015222700363730944"
"33","1555289286-15319","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Just came across this archive gem from 1988: Thatcher sets face against united Europe  - she's also worried US might run down its defence 
 presence in europe. Plus ca change.https://www.theguardian.com/business/1988/sep/21/emu.theeuro?CMP=share_btn_tw<U+00A0>¡¦",1,"4","8",1.53e+12,2018-07-06 07:39:00,"/lisaocarroll/status/1015243762279251968"
"34","1555289286-15318","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING Theresa May secures approval from cabinet to negotiate soft Brexithttps://www.theguardian.com/politics/2018/jul/06/theresa-may-secures-approval-from-cabinet-to-negotiate-soft-brexit?CMP=Share_iOSApp_Other<U+00A0>¡¦",1,"26","15",1.53e+12,2018-07-06 13:05:00,"/lisaocarroll/status/1015325969526255618"
"35","1555289286-15317","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Ireland's deputy PM gives guarded welcome to Chequers deal - ""it deserves detailed consideration""https://twitter.com/simoncoveney/status/1015516756109090816<U+00A0>¡¦",2,"5","11",1.53e+12,2018-07-07 02:24:00,"/lisaocarroll/status/1015526967175729152"
"36","1555289286-15316","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","As Tories get briefed EU says its Brexit task force is available ¡°throughout summer¡± insisting Westminster claim there is ¡°only six weeks left¡± is nonsense as there is summer and all of Sept and two weeks in October. Message clear...https://www.theguardian.com/politics/2018/jul/07/tory-mps-briefed-ahead-governments-brexit-white-paper?CMP=share_btn_tw<U+00A0>¡¦",2,"19","16",1.53e+12,2018-07-07 05:58:00,"/lisaocarroll/status/1015580795401064448"
"37","1555289286-15315","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Absolute clearly from Marr interview that government is proposing taking on entire EU rule book for trade in goods, and by inference ECJ.",1,"6","8",1.53e+12,2018-07-08 01:46:00,"/lisaocarroll/status/1015879724701310976"
"38","1555289286-15314","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Gove on Marr...ECJ's judgments will be taken into account by our courts with specific interference to trade but there won't be any ECJ jurisdiction - (me: but if both sides are in same market ECJ courts has to be the dispute resolution court)",4,"12","49",1.53e+12,2018-07-08 01:51:00,"/lisaocarroll/status/1015881027863175168"
"39","1555289286-15313","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Philips says it may quite the UK because of Brexit.https://www.theguardian.com/business/2018/jul/08/hard-brexit-could-see-dutch-electronics-firm-philips-quit-uk?CMP=share_btn_tw<U+00A0>¡¦",2,"26","24",1.53e+12,2018-07-08 14:38:00,"/lisaocarroll/status/1016073964668452864"
"40","1555289286-15312","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","FOLLOW LIVE - David Davis and Steve Baker resignhttps://www.theguardian.com/politics/live/2018/jul/09/david-davis-resigns-as-brexit-secretary-live-updates?CMP=share_btn_tw<U+00A0>¡¦",NA,"6","11",1.53e+12,2018-07-08 16:33:00,"/lisaocarroll/status/1016102981891186689"
"41","1555289286-15311","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Humphrys: Do you expect Boris Johnson to resign now too? 
Davis: No",1,"6","3",1.53e+12,2018-07-09 00:16:00,"/lisaocarroll/status/1016219550680002560"
"42","1555289286-15310","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Davis: One of the central issues which is problematic is this common rule book. This means EU writes the rules, we had said  before we¡¯ll write the rules¡¦",1,"2","4",1.53e+12,2018-07-09 00:19:00,"/lisaocarroll/status/1016220390681661440"
"43","1555289286-15309","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","First bucket of water thrown on Chequers plan.
EU has made it very clear there will not be any unpicking of the single market. The integrity of the single very important for us -  Sophie In 'Veld @SophieintVeld, Dutch MEP and deputy to Verhofstadt on @BBCr4today",4,"71","117",1.53e+12,2018-07-09 00:40:00,"/lisaocarroll/status/1016225640788480000"
"44","1555289286-15308","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Brussels source to Bbc - ¡°David Davis hasn¡¯t played any more than a cameo role¡± I¡¯m brexit negotiations so his departure not a below line hole",2,"24","65",1.53e+12,2018-07-09 00:46:00,"/lisaocarroll/status/1016227036296249344"
"45","1555289286-15307","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Well there goes David Davis, the man who gave us the Brexit impact papers, refused to publish them until forced to, then put folders of press releases etc in private reading soon and then admitted the brexit impact papers didn¡¯t exist sector by sector",14,"212","444",1.53e+12,2018-07-09 00:50:00,"/lisaocarroll/status/1016228029587128320"
"46","1555289286-15306","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","European Commission: ""We available to work, to commit, at all levels necessary"" when asked if there will be a pause in talks because of Davis's resignation. In other words. No.",NA,"5","4",1.53e+12,2018-07-09 03:18:00,"/lisaocarroll/status/1016265323920715779"
"47","1555289286-15305","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","David Davis's resignation a problem for the European Commission? 
EC spokesman: ""Not for us, we are here to work.""",NA,"41","70",1.53e+12,2018-07-09 03:20:00,"/lisaocarroll/status/1016265840763777025"
"48","1555289286-15304","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Juncker spoke to May at 5pm yesterday, so before Davis resignation, European commission spokesman confirms at briefing.",NA,"5","8",1.53e+12,2018-07-09 03:22:00,"/lisaocarroll/status/1016266293018791942"
"49","1555289286-15303","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Does it matter who the Brexit secretary is, EC spokesman asked.
""I think it matters a lot on the UK side.""
""what matters for us is the negotiating framework our 27 member states have set for us.""",1,"15","12",1.53e+12,2018-07-09 03:25:00,"/lisaocarroll/status/1016267183893204993"
"50","1555289286-15302","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Can 29 March article 50 date be moved?
""I think the treaty itself .. is very clear in para 3. it¡¯s the member states who will decided unanimously on the extension of the deadline, but this hasn¡¯t arisen because there hasn¡¯t been a request on that"" - EC spokesman",1,"4","3",1.53e+12,2018-07-09 03:30:00,"/lisaocarroll/status/1016268431056924673"
"51","1555289286-15301","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING BORIS GONE Boris Johnson resigns as foreign secretaryhttps://www.theguardian.com/politics/2018/jul/09/boris-johnson-resigns-as-foreign-secretary-brexit?CMP=share_btn_tw<U+00A0>¡¦",1,"11","14",1.53e+12,2018-07-09 07:03:00,"/lisaocarroll/status/1016321939407765505"
"52","1555289286-15300","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","UK commitment to Europe rather shot...https://twitter.com/patrickwintour/status/1016322736463937538<U+00A0>¡¦",NA,"8","5",1.53e+12,2018-07-09 07:09:00,"/lisaocarroll/status/1016323376800026624"
"53","1555289286-15299","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Theresa May thanks Boris and David for their work. ""we do not agree about the best way of delivering our shared vision"". Feverish atmosphere in house but May quite bouncy in delivery",NA,"3","3",1.53e+12,2018-07-09 07:36:00,"/lisaocarroll/status/1016330175892676608"
"54","1555289286-15298","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","What are the chances of Boris spending afternoon currently writing a 5,000 word piece for the Telegraph?",8,"6","63",1.53e+12,2018-07-09 07:40:00,"/lisaocarroll/status/1016331382547730434"
"55","1555289286-15297","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Large holler when Theresa May describes her Chequers proposals as something that ¡°challenges the EU¡±.",1,"2","7",1.53e+12,2018-07-09 07:45:00,"/lisaocarroll/status/1016332622618877952"
"56","1555289286-15296","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Corbyn says David and Johnson could have resigned on Friday night but they had no phone, faced a long walk and due to government cuts couldn't get a bus",4,"111","299",1.53e+12,2018-07-09 07:51:00,"/lisaocarroll/status/1016334066336124928"
"57","1555289286-15295","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING: Residents in Greenwich tower blocks with Grenfell style cladding will NOT have to pay for it to be removed after National House Building Council agreed they/Galliard could make a claim under insurance policy. Residents in New Capital Quay faced share of ¡Ì25m-40m bill.",3,"14","31",1.53e+12,2018-07-09 08:05:00,"/lisaocarroll/status/1016337574783275009"
"58","1555289286-15294","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING: National House Building Council WILL pay for Grenfell-cladding to be removed from New Capital Quay in Greenwich. Full story soon.",1,"3","4",1.53e+12,2018-07-09 08:07:00,"/lisaocarroll/status/1016337999129382914"
"59","1555289286-15293","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Residents from Greenwich New Capital Quay have told me of their relief after insurer NHBC made, what could be landmark decision, to cover cost of removing and replacing Grenfell cladding. Full story shortly...",NA,"4","7",1.53e+12,2018-07-09 08:53:00,"/lisaocarroll/status/1016349620971155456"
"60","1555289286-15292","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Mats Persson, who was an adviser to David Cameron when he tried, unsuccessfully, to renegotiate a deal with the EU tells Sky News he does not think the Chequers deal is dead.",1,"1","4",1.53e+12,2018-07-09 09:43:00,"/lisaocarroll/status/1016362252163743744"
"61","1555289286-15291","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","FULL STORY: Grenfell-type cladding on private Greenwich flats to be replaced at insurer's cost in landmark decision. Residents will not pay.https://www.theguardian.com/society/2018/jul/09/grenfell-type-cladding-on-london-flats-to-be-replaced-at-insurers-cost?CMP=Share_iOSApp_Other<U+00A0>¡¦",1,"13","22",1.53e+12,2018-07-09 11:29:00,"/lisaocarroll/status/1016388992839901186"
